-,-,-,-,-,-
0.13,-0.19,0.22,287.96,-108.15,6.59
0.99,-0.44,0.03,-16.42,-373.90,-79.59
0.93,0.04,0.21,-49.56,-423.65,19.10
0.52,0.65,3.36,-458.92,-630.98,39.73
0.40,-0.54,0.84,-165.47,-843.02,93.08
-0.04,-0.11,1.26,56.70,-92.22,153.38
0.12,-1.32,3.29,434.94,-131.84,-665.89
-0.04,-0.07,1.96,588.01,-374.88,-676.03
-0.47,0.58,0.77,1621.83,47.79,-572.81
-0.79,0.50,0.96,1521.61,415.34,-464.05
-0.57,-0.69,-0.12,1220.89,318.85,-608.58
-0.70,0.10,-1.62,1658.94,-239.07,-426.76
0.13,0.23,-0.02,1422.55,254.27,-460.45
0.12,-0.93,-0.21,1536.07,92.83,-430.18
0.12,0.27,-0.23,1264.10,88.07,-316.77
0.20,0.31,-0.62,1130.00,250.24,-380.55
0.35,0.15,-0.27,1052.80,298.34,-351.56
-0.03,0.60,-0.13,1086.91,-81.24,-537.54
0.17,-0.25,-0.17,1026.67,-254.03,-709.78
-0.15,-0.45,-0.25,976.93,-176.45,-731.32
0.15,-0.64,1.01,837.89,-251.53,-750.06
-2.42,-3.14,4.00,308.47,-655.09,-786.99
-1.74,1.02,3.55,1579.96,343.63,-215.45
0.46,-0.43,0.26,1956.97,1133.00,-410.03
-2.32,0.34,-1.64,1025.02,813.11,-160.03
-0.60,0.36,-1.20,1770.14,780.27,-188.66
-0.83,1.22,-0.09,1990.54,1267.64,-487.55
-1.41,-0.28,-0.89,1997.86,808.17,-635.80
-2.30,-0.58,-1.47,1999.69,1019.47,-968.57
-1.53,-1.83,-1.33,1997.50,1004.88,-1277.34
-2.37,-1.76,-1.08,1968.87,931.88,-1349.18
-2.46,-4.00,-0.20,1839.48,993.47,-1382.75
-2.34,-4.00,0.68,911.62,948.91,-1777.28
-0.89,-1.03,-0.66,-519.71,982.79,-1140.44
0.14,-0.83,-0.81,-1477.36,1577.94,-664.49
0.47,-1.66,-1.61,-1575.87,1387.88,-1013.18
-1.81,-2.90,-2.22,-1708.07,398.50,-556.82
-0.27,-2.71,-1.21,-1995.30,389.83,-459.90
-1.95,-2.25,-1.28,-1998.60,1032.96,-69.09
-1.05,3.09,3.87,-1979.37,-47.00,160.46
-1.74,1.51,0.76,-587.40,444.27,310.79
1.65,-0.80,0.27,987.30,1000.31,206.91
-0.53,0.58,-0.19,856.51,1182.56,363.77
-0.09,-0.61,-0.04,836.61,381.29,476.01
-0.23,0.26,-0.36,1038.09,867.55,133.67
-,-,-,-,-,-
0.05,0.05,0.96,118.35,97.78,-93.02
0.66,-0.21,0.36,61.40,-74.58,-127.08
1.24,-0.42,0.61,-150.21,-278.26,-109.13
0.23,0.13,0.08,-126.59,-498.23,-86.98
0.58,-1.06,1.33,-657.90,-169.07,21.30
0.15,-0.17,0.65,194.15,122.56,64.88
1.42,0.34,1.38,298.46,370.12,62.56
2.07,-0.65,1.05,82.03,401.00,138.61
-0.00,0.09,0.33,124.94,-341.31,56.15
